type,variable,display_name,percentile_calculated,source,calculation,hexcode,col_desc
human,npl,"National Preparedness
Level",no,NIFC,National Preparedness Level on the day of the fire/day combination,#6F2DA8,purple
human,short_concurrent_fires,"Number of
concurrent fires",no,Derived for this paper using FPA-FOD database from Short (2022),Number of FPA-FOD events also active on the day of the fire/day combination,#6F2DA8,purple
human,caltrans_road_density_mpha,Road density (m/ha),yes,CalTrans [CRS Functional Classification],"Percentile of mean road density (meters per hectare) within polygon representing daily burn perimeter compared to same value calculated when that polygon is located in ~500 other locations within the fire's biome, but not where the fire burned (i.e., independent of fire)",#6F2DA8,purple
topography,elevation,Elevation (m),yes,Percentiles derived for this paper using USGS 3DEP,"Percentile of spatial mean elevation within polygon representing daily burn perimeter compared to same value calculated when that polygon is located in ~500 other locations within the fire's biome, but not where the fire burned (i.e., independent of fire)",#4B2D0B,brown
topography,rumple_index,"Terrain roughness
(rumple index)",yes,Calculation and percentiles derived for this paper using USGS 3DEP,"Percentile of rumple index (calculated using algorithm of Jenness (2004)) of elevation values within polygon representing daily burn perimeter compared to same value calculated when that polygon is located in ~500 other locations within the fire's biome, but not where the fire burned (i.e., independent of fire)",#4B2D0B,brown
topography,peak_ridge_cliff,Peak/ridge/cliff fraction,yes,"Aggregated from Theobald et al., (2015) and percentiles derived for this paper [Conservation Science Partners 10 m NED Landforms]","Percentile of proportional cover of peak/ridge (neutral), peak/ridge (warm), peak/ridge (cool), cliff, and mountain/divide within polygon representing daily burn perimeter compared to same value calculated when that polygon is located in ~500 other locations within the fire's biome, but not where the fire burned (i.e., independent of fire)",#4B2D0B,brown
topography,valleys,Valleys fraction,yes,"Aggregated from Theobald et al., (2015) and percentiles derived for this paper [Conservation Science Partners 10 m NED Landforms]","Percentile of proportional cover of valleys and narrow valleys within polygon representing daily burn perimeter compared to same value calculated when that polygon is located in ~500 other locations within the fire's biome, but not where the fire burned (i.e., independent of fire)",#4B2D0B,brown
topography,slope_warm,"Slopes (warm)
fraction",yes,"Aggregated from Theobald et al., (2015) and percentiles derived for this paper [Conservation Science Partners 10 m NED Landforms]","Percentile of proportional cover of upper slope (warm) and lower slope (warm) within polygon representing daily burn perimeter compared to same value calculated when that polygon is located in ~500 other locations within the fire's biome, but not where the fire burned (i.e., independent of fire)",#4B2D0B,brown
topography,slope_cool,"Slopes (cool)
fraction",yes,"Aggregated from Theobald et al., (2015) and percentiles derived for this paper [Conservation Science Partners 10 m NED Landforms]","Percentile of proportional cover of upper slope (cool) and lower slope (cool) within polygon representing daily burn perimeter compared to same value calculated when that polygon is located in ~500 other locations within the fire's biome, but not where the fire burned (i.e., independent of fire)",#4B2D0B,brown
topography,slope_neutral,"Slopes (neutral)
fraction",yes,"Aggregated from Theobald et al., (2015) and percentiles derived for this paper [Conservation Science Partners 10 m NED Landforms]","Percentile of proportional cover of upper slope (neutral) and lower slope (neutral) within polygon representing daily burn perimeter compared to same value calculated when that polygon is located in ~500 other locations within the fire's biome, but not where the fire burned (i.e., independent of fire)",#4B2D0B,brown
