"id","name_frap","overlapping_pct_frap","ignition_date","ignition_year","ignition_month","last_date","mecdf","ewe_rank","size_rank","frp_rank","aoir_rank","aoi_rank","total_area_ha","frp_90","aoir_max","aoi_max","predicted_aoi","actual_aoi_during_max_aoir","cum_area_ha_tminus1","acq_date_frp","acq_date_aoir","acq_date_aoi","event_day_aoir","event_day_aoi","event_duration","modeled_max_aoir","eco_name","biome_name"
135921,"CREEK",0.972606016382172,"2020-09-01",2020,9,"2020-10-27",0.993725307924704,1,4,15,14,16,129458.901919833,1246.36,17060.7153071131,17190.3511045496,129.635797436506,17190.3511045496,1753.48570796739,2020-09-05,2020-09-07,2020-09-07,7,7,57,4.88737456253272,"Sierra Nevada forests","Temperate Conifer Forests"
43753,"ZACA",0.965043508182992,"2007-07-05",2007,7,"2007-08-28",0.993260515919126,2,10,10,21,23,95584.6836190102,1383.19444444445,13608.9837065379,14097.0212093578,488.037502819903,14097.0212093578,55416.4289529666,2007-08-05,2007-08-18,2007-08-18,45,45,55,3.36332653935858,"California montane chaparral and woodlands","Mediterranean Forests, Woodlands & Scrub"
124681,"WOOLSEY",0.954485339510792,"2018-11-04",2018,11,"2018-11-19",0.990006971880084,3,33,14,11,13,35650.6702196879,1286.64,18986.2523477471,19096.9231727451,110.670824997997,19096.9231727451,2009.54928897835,2018-11-11,2018-11-10,2018-11-10,7,7,16,5.15072225580053,"California coastal sage and chaparral","Mediterranean Forests, Woodlands & Scrub"
83352,"RUSH",0.985612718963705,"2012-08-13",2012,8,"2012-09-01",0.98884499186614,4,9,40,7,8,96683.2347982616,915.74,23939.016710254,24124.5184112358,185.501700981752,24124.5184112358,4239.43608930808,2012-08-20,2012-08-15,2012-08-15,3,3,20,4.86791991206097,"Snake-Columbia shrub steppe","Deserts & Xeric Shrublands"
15863,"CEDAR",0.954526730325022,"2003-10-22",2003,10,"2003-11-08",0.988147803857774,5,8,46,3,3,105878.978674383,839.685950413223,41305.035859918,41445.0128731498,139.977013231764,41445.0128731498,4448.7042167724,2003-10-28,2003-10-27,2003-10-27,6,6,18,5.69064461870684,"California coastal sage and chaparral","Mediterranean Forests, Woodlands & Scrub"
38090,"DAY",0.955133082530768,"2006-09-05",2006,9,"2006-10-07",0.984894259818731,6,17,48,22,24,63793.418084632,824.377622377622,13338.339662251,13653.5200713777,315.180409126701,13653.5200713777,19300.5239870172,2006-09-26,2006-09-19,2006-09-19,15,15,33,3.76860744578836,"California montane chaparral and woodlands","Mediterranean Forests, Woodlands & Scrub"
122950,"CARR ",0.954513302858752,"2018-07-24",2018,7,"2018-08-25",0.984429467813154,7,11,44,29,34,93462.4451857892,870.454545454545,9613.47376390996,10634.7688712128,331.786681011665,9945.26044492162,23324.4599921583,2018-07-26,2018-07-31,2018-08-01,8,9,33,3.40035914413999,"Klamath-Siskiyou forests","Temperate Conifer Forests"
135890,"SLATER",0.954150016209405,"2020-08-30",2020,8,"2020-10-01",0.983964675807576,8,27,54,9,10,41644.5701994867,796.95,20481.5142152464,20858.7751212249,377.260905978514,20858.7751212249,28634.1543347598,2020-09-09,2020-09-15,2020-09-15,17,17,33,4.01259300142536,"Klamath-Siskiyou forests","Temperate Conifer Forests"
15838,"OLD",0.566335048453268,"2003-10-21",2003,10,"2003-11-10",0.983732279804787,9.5,19,59,10,11,57617.619341381,759.378787878788,19536.3934027429,19758.096897033,221.703494290073,19758.096897033,10529.8094151459,2003-10-28,2003-10-27,2003-10-27,7,7,21,4.48997777794224,"California montane chaparral and woodlands","Mediterranean Forests, Woodlands & Scrub"
135625,"SCU COMPLEX",0.977653195146777,"2020-08-13",2020,8,"2020-09-06",0.983732279804787,9.5,3,60,18,6,145130.94821357,753.776223776224,15119.7013477805,31792.9310903179,147.338859428551,15267.0402072091,3669.13135200372,2020-08-28,2020-08-19,2020-08-20,7,8,25,4.64071644871614,"California interior chaparral and woodlands","Mediterranean Forests, Woodlands & Scrub"
